S1	S2	S3
16	12	13
2	1	2
1477	1217	1355
1244	1011	1098
537	410	461
1574	1252	1425
80	61	82
750	555	687
428	373	424
53	56	59
31	22	38
23	15	24
309	262	280
37	30	28
174	123	135
10	9	9
3	2	7
793	595	780
774	608	730
1594	1175	1420
4	0	0
1663	1217	1443
3160	2743	3098
409	333	395
5	7	14
249	181	233
51	69	56
212	170	170
362	304	320
317	268	313
23	21	32
1	0	0
0	0	0
226	170	198
130	106	109
461	375	397
428	388	410
265	213	210
925	853	860
216	178	202
8	2	5
6	10	9
16	10	11
22	15	18
90	87	64
515	424	482
18	16	9
120	98	144
463	385	412
12	4	7
32	23	31
63	57	56
79	55	53
12	11	14
63	40	40
27	20	39
7	8	8
260	227	248
30	26	37
4	8	4
2	0	1
58	49	50
54	40	64
9	3	8
53	35	39
16	19	9
19	22	22
35	35	27
74	61	65
22	15	19
48	36	49
99	74	84
88	67	79
1342	1106	1277
142	146	129
145	136	138
102	90	100
123	105	111
13	12	17
14	8	11
35	27	29
64	48	49
159	139	146
389	315	418
17	10	8
63	62	83
84	56	82
60	42	37
536	411	467
116	87	98
736	567	621
76	51	68
362	273	319
290	256	291
196	157	172
47	40	33
557	409	496
1727	1496	1735
398	379	400
13	19	19
8	10	17
148	123	147
36	36	46
212	180	185
2	0	1
2	0	1
22	16	24
7	5	12
4108	3692	4052
3825	3483	3737
986	1026	1041
22	12	18
42	36	31
2	8	5
85	77	81
61	42	71
54	57	71
203	166	186
22	29	36
62	57	69
0	0	0
3	5	1
170	131	137
5	5	5
169	115	144
