S1	S2	S3
5	6	10
296	297	292
250	223	268
2117	1868	1953
1	1	3
2339	2104	2198
7549	7607	6607
463	527	455
13	13	17
413	435	339
87	76	58
536	544	481
1001	1068	863
584	622	559
86	57	65
5	5	4
1	3	0
212	183	166
68	87	52
291	294	262
555	575	492
279	289	256
1027	1038	936
125	131	112
5	5	4
7	19	16
9	6	15
13	13	11
63	79	90
662	651	568
18	11	14
187	197	174
421	378	359
12	12	10
37	38	25
93	91	73
116	99	104
16	15	13
119	118	113
66	66	46
8	11	12
415	366	375
57	62	55
12	9	5
5	11	5
76	71	67
55	38	44
15	13	11
93	127	78
26	16	27
36	31	26
57	56	62
117	106	95
55	48	37
99	88	100
99	115	93
91	93	87
1209	1252	1206
163	152	141
165	123	147
83	98	79
169	161	133
15	12	15
8	9	9
92	82	79
173	167	164
473	452	438
392	326	332
24	22	23
100	84	79
55	64	58
42	45	26
1510	1550	1285
197	177	189
1389	1275	1032
104	100	77
462	394	366
529	495	366
9	8	10
74	78	80
986	1016	868
1893	1955	1732
405	399	317
26	26	29
26	17	20
489	571	406
90	119	94
258	245	254
21	16	10
19	23	11
45	35	33
12	8	12
2739	2548	2680
